제목	본문요약
에릭센 의식회복, "회복 중"	13일 오전(한국시간) 덴마크의 코펜하겐에 위치한 파르켄 스타디움에서 열린  조별리그 B조 1차전 덴마크 대 핀란드의 경기가 중단됐다. 전반 42분 에릭센은 경기장 왼쪽 라인 부근으로 스로인을 받으려고...
'104골' 호날두, 다에이 A매치 최다골에 '-5'	한편 포르투갈은 에서 프랑스, 독일, 헝가리와 함께 F조에 속했다. 페르난데스는 "유로 2016에서는 쉬운 조에 속한 것처럼 보였는데 통과하기 어려웠다"면서 "유로에서는 모든 팀이 어렵다"고 말했다.
'벤제마 무득점' 데샹 감독, "경험-자신감 구축한 의심의 여지 없는 선수"	벤제마는  프랑스 대표팀에 승선했다. 의외였다. 지난 2015년 11월 프랑스 대표팀 동료 마티유 발부에나를 성관계 동영상으로 협박했다는 혐의를 받았다. 이로 인해 많은 질타를 받았고, 이에 대한 대가로 벤제마는...
‘콜라 치우면 어때’ 호날두, 메이저대회 11연속 득점 신기록 ‘최초’	호날두는 지난 16일 열린  F조 1차전 헝가리전에서 멀티 골을 터트리며 포르투갈의 3-0 승리를 이끌었다. 축구 역사를 새롭게 써가고 있는 호날두다. 이미 소속팀 유벤투스에서 나이를 잊은 활약으로...
"에릭센 사랑해!" 캡틴 SON 진심 메시지, 영국도 녹인 경의	덴마크 축구대표팀은 13일(한국시각) 덴마크 코펜하겐의 파르켄에서 핀란드와의  조별리그 B조 첫 경기를 치렀다. 전반 43분. 에릭센이 갑작기 쓰러졌다. 에릭센은 스로인을 받는 과정에서 상대 선수와 충돌 없이...
동원F&B, 칼로리 제로의 '보성 홍차 아이스티 제로' 출시	맞아 건강과 체중관리에 신경을 쓰는 소비자가 늘면서 저칼로리 음료가 주목받고 있다. 시장조사기관 모니터에 따르면 저칼로리 탄산음료 시장 규모는 2016년 903억원에서 년 1329억원으로 꾸준히 성장 중이다.
'우리가 알던 그 선수 맞나?'...베일, 터키전 승리 후 리더십 폭발	웨일스는 17일 오전 1시(한국시간) 아제르바이잔 바쿠에 위치한 바쿠 올림픽 스타디움에서  A조 조별리그 2차전에서 터키에 2-0으로 승리했다. 이로써 웨일스는 1승 1무로 승점 4점이 되면서 조 2위에 자리했다....
'심정지 에릭센' 소식에 무암바 "계속 눈물 나오더라"	크리스티안 에릭센은 13일(한국시각) 덴마크 코펜하겐의 파르켄 스타디움에서 치러진 UEFA  조별 리그 B조 1차전 덴마크와 핀란드의 경기 도중 의식을 잃고 쓰러졌다. 스로인을 받기 위해 터치 라인 근처로...
"다음엔 더 잘 찰게" 픽포드, 스톤스의 '짧은 패스' 요구에도 '롱킥' 고집	스톤스와 대화를 나눈 픽포드는 오는 19일(한국시간) 열리는 스코틀랜드와 유럽축구연맹(UEFA) 유럽축구선수권대회() 조별리그 2차전에서도 자신만의 플레이를 하겠다고 전했다. 픽포드는 최근 인터뷰에서 “다음...
'16강 진출 실패' 스코틀랜드, 크로아티아에 패했지만, "이제 시작일 뿐"	스코틀랜드 축구 국가대표팀이 크로아티아와의 2020 유럽축구선수권대회() 조별리그 최종전에서 패하며 16강 진출에 실패했다. 스코틀랜드는 23일 오전 4시(한국시간) 영국 스코틀랜드 글래스고의 햄든 파크에서...
카메라에 속삭이듯…‘심정지’ 동료 위한 손흥민의 행동	덴마크 국가대표 마크를 단 에릭슨은 이날 2020 유럽축구선수권대회(이하 ) 덴마크-핀란드의 B조 조별리그 1차전 경기 도중 의식을 잃고 그라운드 위에서 쓰러졌다. 심폐소생술 후 곧장 병원으로 이송됐다....
“에릭센 사랑해” 루카쿠의 뭉클한 세리머니…러시아 상대로 선제골	루카쿠는 13일 오전 4시(한국시간) 러시아 상트페테르부르크의 상트페테르부르크 스타디움에서 러시아를 상대로 ‘ 조별예선 B조’ 경기에서 전반 10분 선제골을 성공했다. 벨기에는 우측에서 볼을 잡은...
"하, 나 이제 겨우 29살인데!"...의식 찾은 에릭센의 첫 마디	에릭센은 지난 13일 '' 조별리그 B조 1차전 핀란드와의 경기에 선발 출전했다. 덴마크가 주도권을 잡고 밀어붙였지만 핀란드의 수비벽에 막혀 득점은 쉽사리 터지지 않았다. 0-0 스코어가 유지되고 있던 전반 막판...
에릭센 소식에 철렁...토트넘 DESK 다시 뭉쳤다	에릭센이 14일(한국시간) 덴마크 국가대표로 나선  조별리그 첫 경기 핀란드전에서 급작스레 의식을 잃고 쓰러진 것. 함께 뛰던 선수들은 물론, 이를 지켜보던 팬들까지도 집단 패닉에 빠졌다. 심폐소생술에...
토트넘도 손흥민 세리머니에 감동…"SON, 결승골 에릭센에게 바쳤다"	이날 경기에 앞서 에릭센(덴마크)은  조별리그 B조 1차전 핀란드전에 나서 경기 도중 갑자기 의식을 잃었다. 전반 42분경 스로인을 받으러 가다 갑자기 쓰러진 것. 눈을 뜬 채 의식없이 그라운드에 바로 쓰러졌고...
[CBC포토] 오웬 빈달, '제 발재간 좀 구경해보실래요?'	한국시간으로 18일 열린  조별리그 C조 2차전에서 네덜란드의 오웬 빈달이 오스트리아의 알렉산더 드라고비치와 볼 경합을 벌이고 있다. 이날 경기에서...
의식 찾은 에릭센의 메시지..."감사합니다. 포기하지 않겠습니다"	덴마크는 지난 13일(이하 한국시간) 덴마크 코펜하겐에 위치한 파르켄에서 열린  조별리그 B조 1차전에서 핀란드에 0-1로 패배했다. 이번 경기에서 전 세계 팬들이 충격에 빠진 사건이 발생하고 말았다. 전반 41분...
베일 2도움+MOM에도 웃음 잃은 이유, “PK 실축 사과할게”	웨일스는 지난 17일(한국시간) 새벽 아제르바이잔 바쿠 올림픽경기장서 열린 터키와  A조 조별리그 2차전서 2-0으로 승리하며, 1승 1무로 조 2위를 유지하고 있다. 5년 전 대회에 이어 조별리그 통과를 눈 앞에...
코로나 집단감염속 ‘코파’ 강행… 개최국 브라질 대승	잉글랜드는 13일 밤 영국 런던의 웸블리 스타디움에서 열린  D조 조별리그 1차전에서 크로아티아를 1-0으로 눌렀다. 잉글랜드는 10번째 유로 출전에서 첫 경기 승리를 거뒀다. 잉글랜드는 이전까지 유로...
에릭센, 경기중 쓰러져 심폐소생술…"안정상태"	덴마크 축구 국가대표팀 크리스티안 에릭센이 12일(현지시간) 2020 유럽축구선수권대회() 핀란드전 도중 쓰러져 심폐소생술을 받은 뒤 병원으로 이송됐다. 주요 외신 등에 따르면 미드필더 에릭센은 덴마크...
대체 후보만 3명... 맨유의 '산초 영입 실패' 대비 시나리오	변수는 에서의 활약 등 산초의 이적료가 더 높아질 경우다. 영국 익스프레스는 "맨유는 산초 이적료로 7000만 파운드(약 1102억원) 이상까지는 고려하지 않을 것"이라며 "만약 이번에도 산초 영입이 무산된다면...
손가락으로 '23'…손흥민 에릭센 위한 세리머니	덴마크 코펜하겐에서 열린 (유럽축구선수권대회) 조별리그 B조 1차전 핀란드와 경기에 선발 출전한 에릭센은 전반 42분 왼쪽 측면 부근에서 쓰러졌다. 동료들과 의료진의 빠른 심폐소생술로 의식을 회복했고...
‘3년 만에 독일대표팀 복귀’ 후멜스, 자책골로 자존심 구겼다	독일은 16일 새벽(한국시간) 독일 뮌헨 알리안츠 아레나에서 개최된 ‘ F조 1차전’에서 후멜스의 자책골이 나오며 프랑스에게 0-1로 졌다. 독일은 F조 3위가 됐다. 포르투갈에 0-3 완패를 당한 헝가리가 조...
'호날두? 난 콜라 마셔' 러시아 감독, 기자회견장서 콜라 '홀짝'	현재 에는 '코카콜라 치우기'가 화제다. 지난 15일 헝가리와 조별리그를 앞두고 공식 기자회견에 나선 호날두가 자신의 앞에 놓여 있던 코카콜라를 치우면서부터다. 호날두는 기자회견이 시작되기 전 테이블에...
‘손흥민 옛동료’ 에릭센, 경기 중 심장마비로 쓰러져…“안정 되찾아”	에릭센은 12일(현지시각) 코펜하겐에서 열린  B조 예선 핀란드와의 경기에 출전해 뛰던 중 전반 43분경 갑자기 쓰러졌다. 그는 다른 선수와 충돌없이 그대로 의식을 잃고 앞으로 쓰러졌다. 이에 선수들이 응급...
"이런 경기서 돈 벌 생각 없다" 덴마크 복권기업, 베팅 금액 환불 조치	덴마크 매체 ‘TV2’는 덴마크의 국영복권기업인 ‘단스케 필’이  핀란드와 경기 베팅 금액을 전액 환불하기로 했다고 전했다. 매체에 따르면 단스케 필은 “우린 이 경기로 돈을 벌 생각이 없다”라고 밝혔다....
기록적으론 압도당한 스웨덴, 하지만 이길 기회는 더 있었다	스웨덴은 15일(이하 한국시각) 오전 4시 스페인 세비야의 라 카르투하 스타디움에서 열린  E조 1차전 스페인과의 경기에서 압도적인 볼점유와 공격을 당했지만 0-0 무승부로 이긴 것 같은 무승부를 해냈다....
"한국 반려동물돌봄시장 선진국 반열에 진입하고 있다"-유로모니터	년 7.6% 성장한 2.1조..올해 6.7% 증가 전망마리당 펫푸드 비용은 전세계 평균 웃돌아 우리나라의... 글로벌 시장조사업체 모니터인터내셔널은 지난해 전세계 반려동물돌봄(펫케어)시장은 전년대비 8.7% 증가한...
지루와 불화 인정… 음바페 “그의 발언에 영향받았다”	팀에 영향을 끼치고 싶지 않다”고 힘줘 말했다. 유럽축구연맹(UEFA)  우승 후보로 꼽히는 프랑스는 오는 16일 독일과 조별리그 1차전을 치른다. 이후 헝가리, 포르투갈을 차례로 만나는 험난한 일정이 기다리고 있다.
"신이시여 제발..깨어나라 에릭센" 충격에 빠진 축구계	12일 덴마크 코펜하겐 파르켄에서 열린 핀란드와의  B조 1차전 전반 43분쯤, 상대진영 좌측 사이드라인에서 스로인을 받으러 달려가던 중 의식을 잃고 잔디 위로 쓰러졌다. 동료들이 달려와 기도를 확보하려는...
[유로맨] 쉬크 원더골, 재치+판단+결정력 '삼박자 갖춘 작품'	14일(한국시간) 스코틀랜드 글래스고에 위치한 햄던파크에서 열린  D조 1차전 경기에서 체코가 스코틀랜드를 2-0으로 이겼다. 쉬크가 전반전 42분, 후반전 7분 득점했다. 원톱으로 출전한 쉬크는 단연 돋보였다....
그리즈만, 이번에 준비한 '킹받는' 세리머니는 엉덩이춤	19일(한국시간) 헝가리 부다페스트의 푸슈카시 아레나에서  F조 2차전을 치른 헝가리와 프랑스가 1-1 무승부를 거뒀다. 헝가리는 대회 첫 승점을 따냈고, 프랑스는 1승 1무를 기록했다. 프랑스는 앞선 독일전에서...
잉글랜드, '난적' 크로아티아 1-0 제압…네덜란드,우크라이나에 3-2 승리	잉글랜드가  첫 경기에서 '난적' 크로아티아를 제압했다. 잉글랜드는 13일(한국시간) 영국 런던의 웸블리경기장에서 열린 크로아티아와의 조별리그 D조 1차전에서 후반 12분 터진 라힘 스털링(맨체스터시티)의...
'미친 활약' 더 브라위너 "사실 얼굴에 감각이 없어요"	벨기에는 18일 오전 1시(한국시간) 덴마크 코펜하겐에 위치한 파르켄에서 열린  B조 조별리그 2차전에서 덴마크를 2-1로 제압했다. 이로써 벨기에는 승점 6점을 기록하며 16강행을 눈앞에 뒀다. 벨기에는 전반 2분...
"에릭센 웃는 모습 보니 정말 기뻤어!"...덴마크 GK, 병문안 후 안도의 한숨	덴마크는 13일 오전 1시(이하 한국시간) 덴마크 코펜하겐에 위치한 파르켄에서 열린  조별리그 B조 1차전에서 핀란드에 0-1로 패했다. 첫 경기에서 패한 덴마크는 승점을 얻지 못하며 조 3위에 위치했다. 전반...
[스포터 PICK] '출격 대기' 그릴리쉬, 잉글랜드의 D조 1위 이끌까?	[편집자주]  D조 1, 2위에 위치한 체코와 잉글랜드의 치열한 경기가 펼쳐진다. '출격 대기' 그릴리쉬가 체코를 누르고 잉글랜드를 D조 선두로 이끌 수 있을까? 체코와 잉글랜드는 23일 오전 4시(한국시간) 영국...
前 FC서울 감독했던 귀네슈, 고국 터키 이끌고 첫 유로서 대패	터키는는 12일(이하 한국시각) 오전 4시 이탈리아 로마의 올림피코 스타디움에서 열린  A조 개막전 이탈리아와의 원정경기에서 0-3 대패를 당하고 말았다. 전반전을 0-0으로 마쳤지만 터키에게 단 하나의 슈팅을...
“난 괜찮다, 덴마크 응원해” 근황 밝힌 에릭센	에릭센은 지난 13일 덴마크와 핀란드 사이에 치러진 2020 유럽축구선수권대회() 조별리그 B조 1차전 경기 도중 멀쩡히 걷다가 갑자기 쓰러진 후 의식을 잃었다. 당시 에릭센은 숨을 쉬지 않으며 심정지 상태를...
'나를 겨냥한건가' 프랑스 에이스, 팀 동료 발언에 분노 폭발	디디에 데샹 감독이 이끄는 프랑스 축구대표팀은  강력한 우승 후보로 꼽힌다. 킬리안 음바페, 은골로 캉테, 앙투안 그리즈만, 폴 포그바 등 2018년 러시아월드컵 우승 멤버가 건재하다. 이번 대회 해설로 나서는...
바이날둠 쟁탈전, 끝내 PSG 웃었다…3년 계약	이번 에서도 주전 중원 자원으로 대회에 나설 예정이다. 당초 바이날둠은 같은 네덜란드 출신으로 국가대표팀 감독과 선수로 연을 맺었던 로날드 쿠만 감독이 있는 바르셀로나로의 이적 가능성이 높았다....
무리뉴, "잉글랜드, 케인 활용하려면 손흥민 필요"	무리뉴 감독은 영국 매체 토크스포츠와 인터뷰서 에 참가한 잉글랜드 대표팀에 대한 의견을 전했다. 무리뉴 감독은 잉글랜드 간판 스트라이커 해리 케인(토트넘)의 활용법을 두고 “케인을 효율적으로 쓰려면...
"에릭센 건강이 우선"...누구보다 마음 편치 않았을 무암바, 눈물 쏟으며 응원	지난 13일(한국시간) 덴마크와 핀란드의 UEFA  B조 조별리그 1차전이 벌어지던 중 예상치 못한 돌발 상황이 발생했다. 전반 42분경 스로인 과정에서 에릭센이 공을 받은 뒤 외부 충격 없이 혼자서 갑작스럽게...
'둠프리스 결승골' 네덜란드, 5골 주고 받으며 우크라이나에 3-2 신승	'오렌지군단' 네덜란드가 후반전에만 5골을 주고받는 난타전 끝에 2020 유럽축구선수권대회() 본선 첫 경기에서 우크라이나를 꺾었다. 네덜란드는 14일(한국시간) 네덜란드 암스테르담의 요한 크라위프...
'압도적 패스 1위'도 소용없게 만드는 스페인의 치명적인 결정력 난조	20일(한국시간) 스페인 세비야에 위치한 에스타디오 올림피코 데 라 카르투에서 열린  E조 2차전에서 스페인과 폴란드가 1-1로 비겼다. 스페인은 전반 알바로 모라타의 골로 앞서 나갔으나 후반 로베르트...
코뼈 부러져도 클래스 증명 벨기에 에이스… 메이저 4연속 도움 기록	벨기에는 18일 오전 1시(한국시간) 덴마크 코펜하겐 파르켄에서 열린 덴마크와  B조 2차전에서 2-1로 역전승을 거두며, 16강행 9부 능선을 넘었다. 핀란드와 최종전에서 비겨도 조 1위 16강행을 확정 짓는다. 이날...
맨유 자랑이던 특급 골키퍼, 감독과 담판 '주전 아니면 떠난다'	스포츠 전문 매체 'ESPN'은 데 헤아가  대회가 끝난 후 솔샤르 감독과의 회담을 통해 단판을 지을 것이라고 보도했다. 데 헤아는 이 회담에서 다음 시즌 주전 골키퍼가 누구인지 확인할 것이며, 만약 자신이 아닌...
유니폼에 영토 표시... 크림반도 전쟁은 축구장서도 계속된다	용 우크라이나 유니폼에 크림반도 선명하게 표시... 러시아 “스포츠를 정치에 이용하지 말라” 우크라이나가 유럽축구선수권대회에 출전하는 자국 선수들이 입을 유니폼에 크림반도<점선 표시>를 표시하자...
‘다행이다’ 에릭센, 의식 차린 채로 병원 후송	덴마크와 핀란드는 13일 오전 1시(한국시간) 덴마크 코펜하겐에 위치한 파르켄 스타디움에서  B조 조별리그 1차전 경기를 치르고 있었다. 상황은 전반 40분 경 발생했다. 스로인 상황에서 에릭센이 공을 받은 뒤...
레반도프스키, 훈련 중 팬 핸드폰 박살냈다	폴란드 대표팀 에이스 로베르트 레반도프스키(바이에른 뮌헨)가  본선을 준비하는 훈련 도중 팬의 휴대전화를 박살냈다. 스포츠매체 스포츠바이블은 12일 “레반도프스키가 훈련장에서 놀라운 핀 포인트샷으로...
'죽어도 못 보내'...토트넘, 케인 잔류 총력전 준비	케인은  전에 팀을 떠날 생각도 했었지만 현재는 유로에 집중한 뒤 대회가 끝나고 다시 한번 거취를 고민할 것으로 알려졌다. 미래를 고민하는 케인과 다르게 토트넘은 케인을 이적시키지 않겠다는 입장을...
산초, BVB와 맨유 이적 합의… 이번 여름 현실화?	이마저 좁혀진다면, 산초의 맨유행은 현실이 될 것이다. 산초는 현재 잉글랜드 대표팀에 합류해  참가 중이다. 이 끝나야 산초의 맨유행은 더 가시화될 전망이다.
손흥민 동료였던 에릭센 경기도중 심장마비로 쓰러졌으나 소생	덴마크 국가대표인 에릭센은 12일(현지시간) 코펜하겐에서 열린  B조 예선 핀란드와의 경기에 출전해 뛰던 중 전반 43분께 그라운드에 갑자기 쓰러졌다. 그는 다른 선수와 충돌 없이 그대로 의식을 잃고 앞으로...
'우리에게 돌아왔나요?' 에릭센 의사의 생생 증언	에릭센은 지난 토요일 코펜하겐에서 열린 핀란드와의 덴마크  조별리그 B조 1차전 도중 전반 43분에 갑자기 필드에서 쓰러졌다. 의료진은 경기장에서 약 15분 동안 움직이지 않은 채 심폐소생술(CPR)을 실시한 후...
"티빙의 강점은 콘텐츠, 그 다음은 팬덤" [토종OTT 넷플릭스를 넘어서]	스포츠에 있어서도 월드컵과 같은 메가 콘텐츠도 중요하지만 팬덤이 강한 '' 등을 독점적으로 생중계하는 것도 필요하다고 본다"고 말했다. 현재 티빙의 오리지널 콘텐츠는 주로 예능과 드라마에 집중돼 있다....
현지 팬 분노 "에릭센 심정지 혹사 때문…UEFA 책임 크다"	에릭센은 13일 새벽(한국시간) 덴마크 코펜하겐에서 열린 핀란드와 유럽축구선수연맹(UEFA)  B조 조별리그 1차전 도중에 쓰러졌다. 전반 42분 스로인 상황에서 볼을 받으러 가던 중에 아무런 외부 충격 없이 혼자...
무리뉴가 원한 '손흥민 후계자'…토트넘이 영입 노린다	이번  대표팀의 일원이기도 하다. 그의 잠재력은 상당하다. 과거 노르셸란의 감독 플레밍 페데르센은 담스고르를 두고 덴마크의 전설 미카엘 라우드루프와 비교하기도 했다. 라우드루프는 유벤투스, 레알...
무리뉴 ‘로마 프로젝트’ 가동…해외서 프리시즌·일주일에 3경기 ‘의욕’	로마 감독 부임을 앞둔 무리뉴는 현재  해설위원으로 활동하면서도 팀에 대한 계획을 면밀하게 세우고 있다. 또한 이 매체는 “무리뉴 감독은 일주일에 세 번의 친선경기를 치르려는 열망을 보이고 있다”고...
'1년 남은' 포그바 "아직 재계약 얘기 안하던데"	영국 BBC는 11일(이하 한국시간)  개막을 앞두고 진행한 공식 인터뷰에서 맨체스터 유나이티드와의 계약 기간을 1년 남겨둔 폴 포그바가 맨유로부터 어떠한 제안도 받지 못했다고 말했다고 보도했다. 포그바는...
손흥민 동료였던 에릭센, 경기 중 쓰러졌지만 의식 회복	사건은 13일(한국시간) 코펜하겐에서 열린 덴마크와 핀란드의 유럽축구연맹(UEFA)  B조 예선 전반 43분으로 거슬러 올라간다. 에릭센은 공을 받기 위해 동료에게 다가가던 중 돌연 쓰러졌다. 다른 선수와 충돌...
극도 부진 겪는 잉글랜드, 해법은 '17살 유망주?'...英매체, "무조건 기용해"	유럽축구연맹(UEFA) 을 앞두고 잉글랜드 대표팀에 대한 기대는 높았다. 가레스 사우스게이트 감독이 2016년부터 지휘봉을 잡은 뒤로 꾸준한 성장세를 보인 것이 이유였다. 사우스게이트 감독은 기존에 단순했던...
잉글랜드 대표팀 에이스 스털링, 맨시티서 “불행했다” 고백	그는 지난 크로아티아와의 2020 유럽축구선수권대회() 조별리그 첫 경기에서 득점에 성공하며 팀 승리를 이끌었다. 이에 스털링도 잉글랜드 대표팀에서의 시간에 행복해하고 있다. 스털링은 “나는 그저 축구를...
첫 우승 꿈꾸는 잉글랜드, 축구 종가 자존심 살릴까	이후 2018-19 UEFA 네이션스리그 4강으로 상승세를 이어간 잉글랜드는 2019년 열린  예선에서 몬테네그로, 코소보, 체코, 불가리아 등을 따돌리고, 조1위로 본선 진출을 확정지었다. 사우스게이트 감독은 지난 3년...
'선한 영향력' 스털링&헨더슨, 英왕실 훈장 수훈	현재 잉글랜드 대표팀 일원으로 에 참가 중인 스털링은 "이 훈장을 받은 것은 나 자신뿐만 아니라 가족, 친구들에게도 자랑스러운 순간일 것"이라며 "앞으로도 사람들을 돕기 위해 배우고 또 노력할 것"이라고...
'의식 잃었던 에릭센 위한 세리머니' 손흥민 "걱정되고 신경 많이 쓰였다"	이날 경기에 앞서 에릭센(덴마크)은  조별리그 B조 1차전 핀란드전에 나서 경기 도중 갑자기 의식을 잃었다. 전반 42분경 스로인을 받으러 가다 갑자기 쓰러진 것. 눈을 뜬 채 의식없이 그라운드에 바로 쓰러졌고...
한때 홈구장으로 뛰었던 웸블리 스타디움에서도 에릭센 응원 행렬	에릭센은 13일 오전 1시(한국시간) 덴마크 코펜하겐에 위치한 파르켄 스타디움에서 열린 UEFA  B조 조별리그 1차전 경기를 치르던 중 갑작스럽게 쓰려졌다. 전반 42분경 스로인 과정에서 에릭센은 공을 받은 뒤 외부...
쉬크 45.5미터 원더골, 남자선수 토너먼트 역대최장거리 골 공식인정	체코는 14일 영국 런던 웸블리 스타디움에서 개최된 ‘ D조 예선 1차전’에서 쉬크의 멀티골이 터져 스코틀랜드를 2-0으로 물리쳤다. 체코(승점 3점, +2)는 잉글랜드(승점 3점, +1)를 제치고 조 선두로 올라섰다....
'믿고 쓰는 맨유산?' 인테르, 반 더 비크 임대 고려...에릭센 대체하나	덴마크 국가대표팀에 발탁된 에릭센은 유럽축구연맹(UEFA)  핀란드와의 경기 중 급성 심장마비로 경기장에 쓰러졌다. 신속한 대처와 함께 병원에 급히 이송됐고, 에릭센은 다행히 의식을 되찾았다. 하지만 현역...
독일전 '2-4 대패' 후폭풍...브루노, 또다시 '빅매치에 약하다' 비판 받아	포르투갈은 20일 오전 1시(한국시간) 독일 뮌헨에 위치한 알리안츠 아레나에서 유럽축구연맹(UEFA)  F조 2차전에서 독일에 2-4로 패했다. 이로써 포르투갈은 프랑스, 독일에 밀려 조 3위(승점3)에 위치했다. 이날...
[CBC포토] 프렝키 더용, '날개를 활짝 펴고' 탈압박	한국시간으로 18일 열린  조별리그 C조 2차전에서 네덜란드의 프렝키 더용이 개인기를 선보이며 탈압박을 시도하고 있다. 이날 경기에서 네덜란드는 오스트리아에 2-0...
이탈리아, 강력 우승 후보로 부상...만치니 감독, "모두 승리하기 위해 뛴다"	이탈리아는 17일(한국시간) 새벽 이탈리아 로마의 스타디오 올림피코서 열린 유럽축구연맹(UEFA) 유럽축구선수권대회() 조별리그 A조 2차전서 마누엘 로카텔리의 2골과 치로 임모빌레의 쐐기골을 앞세워 스위스를...
안첼로티, 베일에 러브콜…베일의 R마드리드 복귀 가능성↑	베일이 웨일스 대표로 2020 유럽축구선수권대회()에 집중한 뒤 새 시즌 전에 은퇴할 것이라는 보도가 나오기도 했다. 하지만 지단 감독은 물러났고, 복귀한 안첼로티 감독은 대 놓고 '러브콜'까지 보냈다. 이제...
'손흥민 옛 동료' 에릭센, 경기 도중 심정지… 전문의 "축구하기 힘들 수도"	에릭센은 13일(현지시각) 덴마크 코펜하겐에서 열린 핀란드와의 유럽축구연맹(UEFA)  조별리그 B조 1차전에서 전반 42분 상대 진영 왼쪽 측면 부근에 갑자기 쓰러졌다. 당시 짧은 패스 직후 아무런 외부 충격이 없는...
‘이것이 스포츠정신’ 위중한 에릭센을 둘러싼 동료애	덴마크는 13일(한국시간) 덴마크 코펜하겐에 위치한 파르켄 스타디움에서 열린 ‘’ B조 핀란드와의 조별리그 1차전서 0-1 패했다. 경기 결과보다 중요했던 사안은 역시나 에릭센이다. 에릭센은 전반 40분, 스로인...
[용팀 분석실] 포르투갈 2-4 독일 : 풀백부터 중원까지 붕괴된 포르투갈	20일(한국시간) 독일 뮌헨의 알리안츠 아레나에서  F조 2차전을 치른 독일이 포르투갈에 4-2 대승을 거뒀다. 독일은 앞선 1차전에서 프랑스 상대로 점유율을 압도하고도 0-1로 패배한 바 있는데 이번 경기는 완전히...
전 세계로 전파된 손흥민 '23' 감동 세리머니, "에릭센에게 바친 골" 주목	같은 날 새벽 덴마크 에이스 에릭센이 핀란드와  조별리그 경기 도중 갑자기 쓰러지는 일이 발생했다. 스로인을 받으러 가던 도중 외부 충격 없이 그라운드에 쓰러졌고 주심은 다급하게 의료진을 불렀다. 급성...
'붕대투혼' 무어, 천금의 동점골로 웨일즈에 승점 선사하다	웨일즈, 스위스와 1-1 무승부    신들린듯한 선방쇼를 펼친 대니 워드(웨일즈) 골키퍼   UEFA  공식 트위터 캡쳐 웨일즈가 '붕대투혼' 을 발휘한 키에퍼 무어의 천금같은 동점골에 힘입어 귀중한 승점 1점을...
'지루 멀티골' 프랑스, 불가리아 3-0 완파…벤제마 무릎 부상 '악재'	다시 대표팀에 불러 들였는데, 무릎 부상으로 출전이 불투명해졌다.  F조에서 독일, 포르투갈, 헝가리와 함께 '죽음의 조'에 속한 프랑스 입장에서는 벤제마의 부상 정도 여부가 큰 변수로 작용할 전망이다.
프랑스, 독일 1-0 제압…베테랑 센터백 후멜스 '자책골'로 행운의 승리	프랑스는 16일(한국시간) 독일 뮌헨의 알리안츠 아레나에서 열린 2020 유럽축구선수권대회() F조 1차전에서 전반 20분 나온 마츠 후멜스(33·도르트문트)의 자책골을 끝까지 지켜 독일에 1-0으로 이겼다. 승점 3점을...
에릭센 아찔한 상황에 깜짝 놀란 무리뉴 감독, 끝내 눈물 쏟았다	덴마크 축구대표팀은 13일 핀란드와  조별리그 첫 경기를 치렀다. 경기 중 에릭센이 의식을 잃고 그라운드 위에 쓰러졌다. 긴급조치가 진행됐다. 에릭센은 심폐소생술을 통해 회복했다. 그는 곧바로 병원으로...
기사회생한 에릭센 만나고 온 호이비에르의 전언 "상태 좋다, 벨기에전 흥분된다고 하더라"	전 토트넘 미드필더였던 에릭센은 13일  핀란드와의 개막전 전반 41분 갑자기 그라운드로 쓰러졌다. 동료들이 그를 둘러싸서 보호하는 가운데 10분여의 심폐소생술을 받은 에릭센은 즉시 병원으로 후송됐고...
[오피셜]'맨유 최다 5명+린가드 배출' 잉글랜드, 유로 예비 명단 33명 공개	가레스 사우스게이트 잉글랜드 축구대표팀 감독이  대회에 나설 예비 명단을 발표했다. 총 33명이... ~2021시즌 잉글랜드 프리미어리그(EPL) 우승팀 맨시티는 스털링, 필 포든, 스톤스, 카일 워커 등 4명을...
맨유, 산초 영입 제안서 제출했지만...도르트문트 “1277억 요구”	독일 전문 매체 ‘빌드’는 산초가 유럽축구선수권대회()에서 큰 활약을 할 것으로 기대가 되기에,  이후 산초의 이적료는 더 높아질 것이라고 말했다. 하지만 '데일리 메일'은 산초가 마커스 래시포드...
무리뉴도 터져버린 눈물..."에릭센 일로 울고 기도했어"	이에 우선 에릭센은 이번 에서는 더 이상 모습을 비출 수 없게 됐다. 꾸준히 치료를 받으며 앞으로의 경과를 지켜봐야 한다. 덴마크 선수단은 에릭센을 위해 남은 경기에서 최선을 다할 예정이다.
UEFA 공식발표 “쓰러진 에릭센 현재 안정 되찾아”	에릭센은 13일(한국시간) 덴마크 코펜하겐에 위치한 파르켄 스타디움에서 열린 ‘’ B조 핀란드와의 조별리그 1차전서 경기 도중 그라운드에 쓰러졌다. 에릭센은 전반 40분, 스로인 상황에서 자신에게 건너온...
이러다 다 쓰러진다…축구선수 혹사 논란	덴마크 축구 국가대표 크리스티안 에릭센(29·인테르 밀란)은 이날 열린 2020 유럽축구선수권() 조별리그 B조 첫 경기 핀란드전 도중 심장마비로 쓰러졌다. 의료진의 심폐소생술 덕분에 의식을 되찾았다....
보안요원에 붙잡힌 러시아 축구장 난입 여성	21일(현지시간) 러시아 상트페테르부르크의 크레스톱스키 경기장에서 열린 유럽축구연맹(UEFA)  조별리그 B조 최종 3차전 벨기에-핀란드 경기 도중 한 젊은 여성이 경기장에 난입하자 보안요원들이...
